,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,Total,Average
Number of modeled areas,,,,,,,,,,,,
\hspace{3mm}Full/Benchmark Models,7,24,13,11,10,8,12,9,8,7,109,10.9
\hspace{3mm}Updates,3,0,3,4,4,1,3,4,2,1,25,2.5
\hspace{3mm}Data-Moderate,0,0,0,0,0,9,0,0,0,8,17,1.7
\hspace{3mm}Unsuccessful,1,1,0,0,0,1,1,1,0,0,5,0.5
Number of species assessed,,,,,,,,,,,,
\hspace{3mm}Full/Benchmark Models,5,22,12,8,9,8,8,7,6,4,89,8.9
\hspace{3mm}Update,3,0,3,4,4,1,3,4,2,1,25,2.5
\hspace{3mm}Data-Moderate,0,0,0,0,0,8,0,0,0,3,11,1.1
\hspace{3mm}Unsuccessful,0,0,0,0,0,1,1,0,0,0,2,0.2
Difference,,,,,,,,,,,,
\hspace{3mm}Full/Benchmark Models,2,2,1,3,1,0,4,2,2,3,20,2
\hspace{3mm}Update,0,0,0,0,0,0,0,0,0,0,0,0
\hspace{3mm}Data-Moderate,0,0,0,0,0,1,0,0,0,5,6,0.6
Ratio of models to species,1.4,1.1,1.1,1.4,1.1,1,1.5,1.3,1.3,1.8,,
