Species,Status,PSA_Score
Arrowtooth flounder,0.866491363,1.21
Aurora rockfish,0.637201,2.10
Bank rockfish,,2.02
Big skate,0.786254,1.99
Black rockfish,0.429450556,1.94
Blackgill rockfish,0.393712,2.08
Blue/Deacon rockfish,0.424833019,2.01
Bocaccio,0.486,1.93
Brown rockfish,0.4257756,1.99
Butter sole,,1.18
Cabezon,0.6,1.48
Calico rockfish,,1.57
California scorpionfish,0.543251047,1.41
Canary rockfish,0.565017739,2.01
Chilipepper rockfish ,0.692081,1.35
China rockfish,0.455882998,2.23
Copper rockfish,0.588557379,2.27
Cowcod ,0.5714,2.13
Curlfin sole,,1.23
Darkblotched rockfish,0.40028,1.92
Dover sole,0.837487709,1.54
English sole,0.879429,1.19
Flag rockfish,,1.97
Flathead sole,,1.03
Gopher/Black and yellow rockfish,0.438169,1.73
Grass rockfish,,1.89
Greenblotched rockfish,,2.12
Greenspotted rockfish,0.345393048,1.98
Greenstriped rockfish,0.809092538,1.88
Honeycomb rockfish,,1.97
Kelp greenling,0.81,1.56
Kelp rockfish,,1.59
Leopard shark,,2.00
Lingcod,0.491665422,1.55
Longnose skate,0.565009,1.68
Longspine thornyhead,0.752177135,1.53
Olive rockfish,,1.87
Pacific cod,,1.34
Pacific ocean perch,0.766475,1.69
Pacific sanddab,,1.25
Pacific spiny dogfish,0.63147305,2.13
Petrale sole,0.391477,1.94
Quillback rockfish,,2.22
Redbanded rockfish,,2.02
Redstripe rockfish,,2.16
Rex sole,0.799698,1.28
Rock sole,,1.42
Rosethorn rockfish,,2.09
Rosy rockfish,,1.89
Rougheye/Blackspotted rockfish,0.473,2.27
Sablefish ,0.579137,1.64
Sand sole,,1.23
Sharpchin rockfish,0.680104,2.05
Shortbelly rockfish,0.67,1.13
Shortraker rockfish,,2.25
Shortspine thornyhead ,0.741722657,1.80
Silvergray rockfish,,2.02
Speckled rockfish,,2.10
Splitnose rockfish,0.6555,1.82
Squarespot rockfish,,1.86
Starry flounder,,1.02
Starry rockfish,0.496857103,2.09
Stripetail rockfish,,1.80
Tiger rockfish,,2.06
Treefish rockfish,,1.73
Vermilion rockfish,,2.05
Widow rockfish,0.919478,2.05
Yelloweye rockfish,0.283682383,2.00
Yellowmouth rockfish,0.667148,1.96
Yellowtail rockfish,0.752057,1.88
