"Species","Rank","Score","Recruit_Var","MeanAge","Trans_MeanAge","Recruit_Adj","Importance_Adj","Eco_Adj","Total_Adj","MeanAge_Adj","MeanAge_Adj_Round","Last_Assess","Years_Since_Assess","Beyond_Target_Freq","Adj_Negative","Greater_Than_10","Less_Than_6_Update","Greater_Than_Target_Freq"
"Arrowtooth flounder",39,1,0.8,8.05,6.89594569650814,0,0,-1,-1,5.89594569650814,6,2017,6,0,NA,0,0,1
"Aurora rockfish",39,1,0.5,31.13,11.5292077289958,0,1,1,2,10,10,2013,10,0,NA,0,0,1
"Bank rockfish",10,4,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4,0,NA,0,NA
"Big skate",53,-1,0.3,4.3,5.43387209368857,1,0,-1,0,5.43387209368857,6,2019,4,0,NA,0,-1,0
"Black rockfish",5,5,0.5,8.010164041,6.88295823329,0,-1,-1,-2,4.88295823329,4,2015,8,4,NA,0,0,1
"Blackgill rockfish",48,0,0.5,30.184,11.3947966542156,0,1,1,2,10,10,2017,6,0,NA,0,0,0
"Blue/Deacon rockfish",39,1,0.5,10.57,7.64785937106686,0,-1,0,-1,6.64785937106686,6,2017,6,0,NA,0,0,1
"Bocaccio",17,3,1,2.97,4.72105270769061,-1,-1,-1,-3,1.72105270769061,4,2017,6,2,NA,0,0,1
"Brown rockfish",5,5,NA,NA,NA,0,-1,0,-1,NA,NA,NA,NA,4,1,NA,0,NA
"Cabezon",39,1,0.5,5.2,5.84080448523371,0,-1,-1,-2,3.84080448523371,4,2019,4,0,NA,0,0,1
"California scorpionfish",39,1,0.6,8.241,6.95766902706753,0,0,-1,-1,5.95766902706753,6,2017,6,0,NA,0,0,1
"Canary rockfish",17,3,0.5,10.148,7.53036405417108,0,-1,0,-1,6.53036405417108,6,2015,8,2,NA,0,0,1
"Chilipepper rockfish ",17,3,1,9.149,7.23958008752893,-1,0,-1,-2,5.23958008752893,6,2015,8,2,NA,0,0,1
"China rockfish",39,1,0.5,19.34570281,9.62262392457537,0,-1,0,-1,8.62262392457537,8,2015,8,0,NA,0,0,1
"Copper rockfish",58,-2,0.6,7.36794168482437,6.66780586456247,0,-1,0,-1,5.66780586456247,6,2021,2,-2,NA,0,0,0
"Cowcod ",53,-1,NA,14.2,8.55580680155037,0,1,1,2,10,10,2019,4,0,NA,0,-1,0
"Curlfin sole",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Darkblotched rockfish",48,0,0.75,9.361,7.30287473870806,0,1,0,1,8.30287473870806,8,2017,6,0,NA,0,0,0
"Dover sole",64,-3,0.35,13.6,8.41659022801887,0,-1,-1,-2,6.41659022801887,6,2021,2,-2,NA,0,-1,0
"English sole",5,5,0.8,7.14,6.58865426468745,0,0,-1,-1,5.58865426468745,6,2013,10,4,NA,0,0,1
"Flag rockfish",17,3,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,4,-1,NA,0,NA
"Flathead Sole",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Gopher/Black and yellow rockfish",53,-1,0.5,11.6,7.92292298287282,0,-1,-1,-2,5.92292298287282,6,2019,4,0,NA,0,-1,0
"Grass rockfish",17,3,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,4,-1,NA,0,NA
"Greenspotted rockfish",10,4,0.7,19.216,9.59805721713837,0,0,0,0,9.59805721713837,10,2011,12,2,NA,1,0,1
"Greenstriped rockfish",2,6,0.84,16.8,9.12029582749978,0,1,0,1,10,10,2009,14,4,NA,1,0,1
"Honeycomb rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Kelp greenling",5,5,0.65,4.25,5.40977486541347,0,-1,0,-1,4.40977486541347,4,2015,8,4,NA,0,0,1
"Kelp rockfish",17,3,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,4,-1,NA,0,NA
"Leopard shark",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Lingcod ",64,-3,0.6,5.2916658887665,5.87971825773137,0,-1,-1,-2,3.87971825773137,4,2021,2,-2,NA,0,-1,0
"Longnose skate",53,-1,0.3,10.1,7.51680909180061,1,-1,-1,-1,6.51680909180061,6,2019,4,0,NA,0,-1,0
"Longspine thornyhead",17,3,0.6,15.27,8.79529139257539,0,0,-1,-1,7.79529139257539,8,2013,10,2,NA,0,0,1
"Olive rockfish",10,4,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4,0,NA,0,NA
"Pacific cod",2,6,NA,NA,NA,0,-1,-1,-2,NA,NA,NA,NA,4,2,NA,0,NA
"Pacific Ocean perch",48,0,0.7,16.32,9.02038464535194,0,0,0,0,9.02038464535194,10,2017,6,0,NA,0,0,0
"Pacific sanddab",2,6,NA,NA,NA,0,-1,-1,-2,NA,NA,NA,NA,4,2,NA,0,NA
"Pacific spiny dogfish",58,-2,0.2,22.5,10.1910927752497,1,0,-1,0,10,10,2021,2,-2,NA,0,0,0
"Petrale sole",48,0,0.4,7,6.53926072828691,0,-1,-1,-2,4.53926072828691,4,2019,4,0,NA,0,-1,1
"Quillback rockfish",58,-2,0.6,12.9484115466546,8.26101985963608,0,-1,1,0,8.26101985963608,8,2021,2,-2,NA,0,0,0
"Redbanded rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Redstripe rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Rex Sole",5,5,0.8,7.63,6.75695027267055,0,0,0,0,6.75695027267055,6,2013,10,4,NA,0,0,1
"Rock Sole",17,3,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,4,-1,NA,0,NA
"Rosethorn rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Rosy rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Rougheye/Blackspotted rockfish",39,1,0.4,32.51,11.7208159612271,0,1,0,1,10,10,2013,10,0,NA,0,0,1
"Sablefish ",58,-2,1.4,9.7,7.40226548844674,-1,-1,-1,-3,4.40226548844674,4,2021,2,-2,NA,0,0,0
"Sand Sole",10,4,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4,0,NA,0,NA
"Sharpchin rockfish",39,1,0.8,13.32,8.35031778893102,0,1,0,1,9.35031778893102,10,2013,10,0,NA,0,0,1
"Shortraker rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Shortspine thornyhead ",17,3,0.5,25.4,10.6715673755639,0,-1,-1,-2,8.67156737556392,8,2013,10,2,NA,0,0,1
"Silvergray rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Speckled rockfish",10,4,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4,0,NA,0,NA
"Splitnose rockfish",1,8,1,15.91,8.93359102078915,-1,1,-1,-1,7.93359102078915,8,2009,14,6,NA,1,0,1
"Squarespot rockfish",58,-2,0.7,11.7,7.94880834591859,0,1,1,2,9.94880834591859,10,2021,2,-2,NA,0,0,0
"Starry flounder",10,4,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4,0,NA,0,NA
"Starry rockfish",10,4,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4,0,NA,0,NA
"Stripetail rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Treefish rockfish",17,3,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,4,-1,NA,0,NA
"Vermilion/Sunset rockfish",58,-2,0.5,7.25288246574272,6.62804489486385,0,-1,1,0,6.62804489486385,6,2021,2,-2,NA,0,0,0
"Widow rockfish",53,-1,0.6,9.7,7.40226548844674,0,-1,-1,-2,5.40226548844674,6,2019,4,0,NA,0,-1,0
"Yelloweye rockfish",48,0,0.5,21.78893375,10.0674868298741,0,0,0,0,10,10,2017,6,0,NA,0,0,0
"Yellowmouth rockfish",27,2,NA,NA,NA,0,1,1,2,NA,NA,NA,NA,4,-2,NA,0,NA
"Yellowtail rockfish",39,1,0.37832249,14.12,8.53745805740039,0,-1,-1,-2,6.53745805740039,6,2017,6,0,NA,0,0,1
