"Species","Recruit_Var","Mean_Age","Last_Assess","SSC_Rec"
"Arrowtooth flounder",0.8,8.05,2017,""
"Aurora rockfish",0.5,31.13,2013,""
"Bank rockfish",NA,NA,NA,""
"Big skate",0.3,4.3,2019,"Update"
"Black rockfish",0.5,8.010164041,2015,""
"Blackgill rockfish",0.5,30.184,2017,"Update"
"Blue/Deacon rockfish",0.5,10.57,2017,"Update"
"Bocaccio",1,2.97,2017,"Update"
"Brown rockfish",NA,NA,NA,""
"Cabezon",0.5,5.2,2019,""
"California scorpionfish",0.6,8.241,2017,"Update"
"Canary rockfish",0.5,10.148,2015,""
"Chilipepper rockfish ",1,9.149,2015,"Update"
"China rockfish",0.5,19.34570281,2015,""
"Copper rockfish",0.6,7.36794168482437,2021,""
"Cowcod ",NA,14.2,2019,"Update"
"Curlfin sole",NA,NA,NA,""
"Darkblotched rockfish",0.75,9.361,2017,"Update"
"Dover sole",0.35,13.6,2021,"Update"
"English sole",0.8,7.14,2013,""
"Flag rockfish",NA,NA,NA,""
"Flathead Sole",NA,NA,NA,""
"Gopher/Black and yellow rockfish",0.5,11.6,2019,"Update"
"Grass rockfish",NA,NA,NA,""
"Greenspotted rockfish",0.7,19.216,2011,""
"Greenstriped rockfish",0.84,16.8,2009,""
"Honeycomb rockfish",NA,NA,NA,""
"Kelp greenling",0.65,4.25,2015,"Update"
"Kelp rockfish",NA,NA,NA,""
"Leopard shark",NA,NA,NA,""
"Lingcod ",0.6,5.2916658887665,2021,"Update"
"Longnose skate",0.3,10.1,2019,"Update"
"Longspine thornyhead",0.6,15.27,2013,""
"Olive rockfish",NA,NA,NA,""
"Pacific cod",NA,NA,NA,""
"Pacific Ocean perch",0.7,16.32,2017,""
"Pacific sanddab",NA,NA,NA,""
"Pacific spiny dogfish",0.2,22.5,2021,""
"Petrale sole",0.4,7,2019,"Update"
"Quillback rockfish",0.6,12.9484115466546,2021,""
"Redbanded rockfish",NA,NA,NA,""
"Redstripe rockfish",NA,NA,NA,""
"Rex Sole",0.8,7.63,2013,""
"Rock Sole",NA,NA,NA,""
"Rosethorn rockfish",NA,NA,NA,""
"Rosy rockfish",NA,NA,NA,""
"Rougheye/Blackspotted rockfish",0.4,32.51,2013,""
"Sablefish ",1.4,9.7,2021,""
"Sand Sole",NA,NA,NA,""
"Sharpchin rockfish",0.8,13.32,2013,""
"Shortraker rockfish",NA,NA,NA,""
"Shortspine thornyhead ",0.5,25.4,2013,""
"Silvergray rockfish",NA,NA,NA,""
"Speckled rockfish",NA,NA,NA,""
"Splitnose rockfish",1,15.91,2009,""
"Squarespot rockfish",0.7,11.7,2021,""
"Starry flounder",NA,NA,NA,""
"Starry rockfish",NA,NA,NA,""
"Stripetail rockfish",NA,NA,NA,""
"Treefish rockfish",NA,NA,NA,""
"Vermilion/Sunset rockfish",0.5,7.25288246574272,2021,""
"Widow rockfish",0.6,9.7,2019,"Update"
"Yelloweye rockfish",0.5,21.78893375,2017,"Update"
"Yellowmouth rockfish",NA,NA,NA,""
"Yellowtail rockfish",0.37832249,14.12,2017,"Update"
