"SpeciesArea","Species","AssessYear","MeanAge","SigmaR","SB0","SBfinal","Status","WeightedStatus","WeightedMeanAge"
"copper_rockfish.nca","copper_rockfish",2021,6.8,0.6,415.814,163.51,0.393228703218266,0.34160293309992,7.36794168482437
"copper_rockfish.or","copper_rockfish",2021,13.1,0.6,38.7535,28.5087,0.73564194201814,0.34160293309992,7.36794168482437
"copper_rockfish.sca","copper_rockfish",2021,5.5,0.6,233.041,42.2812,0.181432451800327,0.34160293309992,7.36794168482437
"copper_rockfish.wa","copper_rockfish",2021,10,0.9,7.65046,3.2026,0.418615351233782,0.34160293309992,7.36794168482437
"dover_sole.cw","dover_sole",2021,13.6,0.35,294070,232065,0.789148842112422,0.789148842112422,13.6
"lingcod.n","lingcod",2021,5,0.6,17159.8,11010.2,0.641627524796326,0.491365352243174,5.2916658887665
"lingcod.s","lingcod",2021,5.6,0.6,26443.6,10415,0.393857114765009,0.491365352243174,5.2916658887665
"pacific_spiny_dogfish.cw","pacific_spiny_dogfish",2021,22.5,0.2,32569.9,13613.1,0.417965667687036,0.417965667687036,22.5
"quillback_rockfish.ca","quillback_rockfish",2021,9.9,0.6,27.54125,3.872615,0.140611446466664,0.256519474871572,12.9484115466546
"quillback_rockfish.or","quillback_rockfish",2021,13.6,0.6,9.8533,4.603455,0.467199313935433,0.256519474871572,12.9484115466546
"quillback_rockfish.wa","quillback_rockfish",2021,15.6,0.6,8.5942,3.32094,0.386416420376533,0.256519474871572,12.9484115466546
"sablefish.cw","sablefish",2021,9.7,1.4,168875,97801.9,0.579137823834197,0.579137823834197,9.7
"squarespot.cw","squarespot",2021,11.7,0.7,20.6394,7.73224,0.374634921557797,0.374634921557797,11.7
"vermilion_rockfish.nca","vermilion_rockfish",2021,9.2,0.5,1145.18,489.439,0.427390453902443,0.456386720701122,7.25288246574272
"vermilion_rockfish.or","vermilion_rockfish",2021,13.9,0.6,29.2386,21.3531,0.730305144569165,0.456386720701122,7.25288246574272
"vermilion_rockfish.sca","vermilion_rockfish",2021,4.9,0.5,977.834,471.178,0.48185888402326,0.456386720701122,7.25288246574272
"vermilion_rockfish.wa","vermilion_rockfish",2021,16.1,0.6,2.75756,1.54792,0.561336834012678,0.456386720701122,7.25288246574272
