Species,Rank,Factor_Score,Last_Full_Assessment,Last_Assessment,Steepness_Prior,New_Abundance_Information,New_Informaiton_Stock_Dynamics,Issues_Can_be_Addressed,Notes
Arrowtooth flounder,30,0,2007,2017,,,,,
Aurora rockfish,23,1,2013,2013,,,1,,"~10K lengths, ~5k otoliths collected since 2013 by the NWFSC WCGBT survey"
Bank rockfish,1,5,,,3,,2,,~50K lengths and ~28K otoliths collected
Big skate,30,0,2019,2019,,,,,
Black rockfish,6,4,2015,2015,,2,2,,"~150K lengths, ~14k, ages and ~21K otoliths collected since 2015"
Blackgill rockfish,30,0,2017,2017,,,,,
Blue/Deacon rockfish,30,0,2017,2017,,,,,
Bocaccio,30,0,2017,2017,,,,,
Brown rockfish,#N/A,6,2013,,3,1,2,,~84K lengths and ~1K otoliths have been collected
Cabezon,30,0,2019,2019,,,,,
California scorpionfish,30,0,2017,2017,,,,,
Canary rockfish,17,2,2015,2015,,,2,,"~59K lengths, ~7k aged, and ~17K otoliths collected since the last assessment"
Chilipepper rockfish ,17,2,2015,2015,,1,1,,~25K lengths and ~6K otoliths collected since the last assessment
China rockfish,23,1,2015,2015,,1,,,
Copper rockfish,30,0,2021,2021,,,,,
Cowcod ,30,0,2019,2019,,,,,
Curlfin sole,30,0,,,,,,,~1K lengths and 289 otoliths collected
Darkblotched rockfish,30,0,2017,2017,,,,,
Dover sole,30,0,2021,2021,,,,,
English sole,1,5,2013,2013,,2,3,,"~208K lengths, ~80K ages not used in 2013 D-M assessment (~22K otoliths available from 2010-2021)"
Flag rockfish,6,4,,,3,,1,,~13k lengths and 583 otoliths collected
Flathead Sole,17,2,,,,1,1,,~11K lengths and ~3k otoliths collected
Gopher/Black and yellow rockfish,30,0,2019,2019,,,,,
Grass rockfish,6,4,,,3,,1,,~13k lengths collected
Greenspotted rockfish,17,2,2011,2011,,1,1,,~17K lengths and ~5K otoliths collected since the last assessment
Greenstriped rockfish,13,3,2009,2009,,2,1,,~27K lengths and ~11K otoliths collected since last assessment
Honeycomb rockfish,6,4,,,3,,1,,~14k lengths and 352 otoliths collected
Kelp greenling,23,1,2015,2015,,,1,,~17K lengths and ~2K otoliths collected since last assessment
Kelp rockfish,1,5,,,3,,2,,"~92K lengths, ~4K ages, and ~5K otoliths collected"
Leopard shark,30,0,,,,,,,~2K lengths collected
Lingcod ,30,0,2021,2021,,,,,
Longnose skate,30,0,2019,2019,,,,,
Longspine thornyhead,6,4,2013,2013,,2,2,,~64K lengths collected since last assessment
Olive rockfish,1,5,,,3,,2,,~39K lengths and 785 otoliths collected
Pacific cod,13,3,,,,1,2,,"~70K lengths, ~1K aged, and ~5K otoliths collected"
Pacific Ocean perch,30,0,2017,2017,,,,,
Pacific sanddab,#N/A,6,,,,3,3,,"~167K lengths, ~8K aged, and ~21K otoliths collected"
Pacific spiny dogfish,30,0,2021,2021,,,,,
Petrale sole,13,3,2013,2019,,,3,,New ecosystem driver of recruitment available
Quillback rockfish,30,0,2021,2021,,,,,
Redbanded rockfish,1,5,,,3,1,1,,~35K lengths and ~15K otoltish have been collected
Redstripe rockfish,30,0,,,,,,,
Rex sole,1,5,2013,2013,,2,3,,~184K lengths and ~29K otoliths available (none used in 2013 D-M assessment)
Rock sole,30,0,,,,,,,~3K lengths and 827 otoliths collected
Rosethorn rockfish,30,0,,,,,,,~5K lengths and ~2K otoliths collected
Rosy rockfish,23,1,,,,,1,,~22K lengths and ~912 otoliths collected
Rougheye/Blackspotted rockfish,23,1,2013,2013,,,1,,~19K lengths and 9K otoliths collected since last assessment
Sablefish ,30,0,2019,2021,,,,,
Sand sole,23,1,,,,,1,,~10K lengths and ~4k otoliths collected
Sharpchin rockfish,17,2,,2013,,1,1,,~28K lengths and ~9K otoliths collected (none used in 2013 D-M assessment)
Shortraker rockfish,1,5,,,3,,2,,~6k lengths and ~3k otoliths collected
Shortspine thornyhead ,17,2,2013,2013,,,2,,~73K lengths collected since last assessment
Silvergray rockfish,30,0,,,,,,,~7K lengths and ~2K otoliths collected
Speckled rockfish,13,3,,,3,,1,,~16K length and ~3k otoliths collected
Splitnose rockfish,#N/A,9,2009,2009,5,2,2,,~38K lengths and 16K otoliths collected since last assessment
Squarespot rockfish,30,0,2021,2021,,,,,
Starry flounder,23,1,2005,,,,1,,~7K lengths and 3K otoliths collected since last assessmnet
Starry rockfish,6,4,,,3,,1,,~37K lengths and ~2K otoliths collected
Stripetail rockfish,30,0,,,,,,,
Treefish rockfish,6,4,,,3,,1,,~11K lengths collected
Vermilion/Sunset rockfish,30,0,2021,2021,,,,,
Widow rockfish,30,0,2015,2019,,,,,
Yelloweye rockfish,30,0,2017,2017,,,,,"~1K lengths, 500 aged, and 679 otoliths collected since the last assessment"
Yellowmouth rockfish,30,0,,,,,,,
Yellowtail rockfish,30,0,2017,2017,,,,,~4K lengths and ~2K otoliths collected
