Species,Score_CW,Rank_CW,Score_CA,Rank_CA,Score_OR,Rank_OR,Score_WA,Rank_WA
arrowtooth flounder,1.506692146,41,0,44,1.744683271,21,0,44
aurora rockfish,0,44,0,44,0,44,0,44
bank rockfish,2.459134496,35,2.730724499,34,0,44,0,44
big skate,0,44,0,44,0,44,0,44
black rockfish,9.746573131,2,7.772940645,5,10,1,10,1
blackgill rockfish,0,44,0,44,0,28,0,44
blue rockfish,7.575400825,4,8.231878574,3,5.859111584,4,3.891647375,6
bocaccio,6.910398456,6,7.663085731,6,2.231721789,18,3.519836837,9
brown rockfish,6.189533693,10,6.872560916,8,1.788034986,20,0,44
cabezon,5.565553394,11,5.550247056,14,5.398734157,6,4.38110941,5
California scorpionfish,6.761743696,7,7.508519438,7,0,44,0,44
canary rockfish,6.665064455,9,6.598032022,9,6.556600792,3,5.138747073,4
chilipepper,3.609408878,27,4.008036675,27,0,44,0,44
China rockfish,4.441162439,18,4.772708774,18,3.368542469,13,3.455605077,11
copper rockfish,7.358596664,5,8.13443986,4,4.199115946,9,3.573658697,8
cowcod,1.876370531,39,2.083599326,36,0,44,0,44
darkblotched rockfish,0,44,0,44,0,44,0,44
Dover sole,1.363701066,42,0,44,1.579105887,23,0,44
English sole,0.833512398,43,0,44,0.965170716,27,0,44
flag rockfish,4.278286881,21,4.750786432,19,0,44,0,44
flathead sole,0,44,0,44,0,44,0,44
gopher rockfish,5.540725628,12,6.152650552,11,0,44,0,44
grass rockfish,3.299087078,29,3.663442533,28,0,44,0,44
greenspotted rockfish,4.489293678,17,4.985097094,17,0,44,0,44
greenstriped rockfish,2.616908823,33,2.905923626,32,0,44,0,44
honeycomb rockfish,3.738359012,26,4.151228229,26,0,44,0,44
kelp greenling,4.094484693,23,4.243818444,25,3.625844933,11,3.342572636,12
kelp rockfish,3.960813005,24,4.398250329,22,0,44,0,44
lingcod,10,1,10,1,8.908903191,2,9.441449182,2
longnose skate,1.608606574,40,0,44,1.862695699,19,0,44
longspine thornyhead,0,44,0,44,0,44,0,44
olive rockfish,5.489187629,13,6.095260461,12,1.296491249,26,0,44
Pacific cod,2.147562615,37,0,44,1.736647833,22,2.619563858,44
Pacific ocean perch,0,44,0,44,0,44,0,44
Pacific sanddab,4.667605195,16,5.165249222,16,2.647908232,16,0,44
Pacific spiny dogfish,2.746100053,32,3.049382904,30,0,44,0,44
petrale sole,3.439326832,28,3.32475134,29,3.561011352,12,0,44
quillback rockfish,4.366232815,20,4.32698871,23,4.212301519,8,3.649731762,7
redbanded rockfish,0,44,0,44,0,44,0,44
rex sole,1.506692146,41,0,44,1.744683271,21,0,44
rock sole,0,44,0,44,0,44,0,44
rougheye rockfish,2.459134496,35,2.730724499,34,0,44,0,44
sablefish,0,44,0,44,0,44,0,44
sand sole,9.746573131,2,7.772940645,5,10,1,10,1
sharpchin rockfish,0,44,0,44,0,44,0,44
shortraker rockfish,7.575400825,4,8.231878574,3,5.859111584,4,3.891647375,6
shortspine thornyhead,6.910398456,6,7.663085731,6,2.231721789,18,3.519836837,9
speckled rockfish,6.189533693,10,6.872560916,8,1.788034986,20,0,44
splitnose rockfish,5.565553394,11,5.550247056,14,5.398734157,6,4.38110941,5
squarespot rockfish,6.761743696,7,7.508519438,7,0,44,0,44
starry flounder,6.665064455,9,6.598032022,9,6.556600792,3,5.138747073,4
starry rockfish,3.609408878,27,4.008036675,27,0,44,0,44
treefish,4.441162439,18,4.772708774,18,3.368542469,13,3.455605077,11
vermilion rockfish,7.358596664,5,8.13443986,4,4.199115946,9,3.573658697,8
widow rockfish,1.876370531,39,2.083599326,36,0,44,0,44
yelloweye rockfish,0,44,0,44,0,44,0,44
yellowtail rockfish,1.363701066,42,0,44,1.579105887,23,0,44
